Name,DrugBank ID,Type,Categories,Has Dosing,Frequency,Times Per Day,Routes,Interaction Count,Food Interaction Count,Has Description,Groups
Frovatriptan,,small molecule,"Agents that produce hypertension; Amines; Analgesics; Antidepressive Agents; Antimigraine Preparations; Biogenic Amines; Biogenic Monoamines; Central Nervous System Depressants; Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 Substrates; Heterocyclic Compounds, Fused-Ring; Indoles; Migraine Disorders; Nervous System; Neurotransmitter Agents; Selective Serotonin 5-HT1 Receptor Agonists; Selective Serotonin Agonists; Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome; Serotonin 1b Receptor Agonists; Serotonin 1d Receptor Agonists; Serotonin 5-HT1 Receptor Agonists; Serotonin Agents; Serotonin Modulators; Serotonin Receptor Agonists; Serotonin-1b and Serotonin-1d Receptor Agonist; Triptans",No,,,,0,1,Yes,approved; investigational
Hydrochlorothiazide,,small molecule,"Amides; Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Benzothiadiazines; Cardiovascular Agents; Diuretics; Drugs causing inadvertant photosensitivity; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Heterocyclic Compounds, Fused-Ring; Hyperglycemia-Associated Agents; Hypotensive Agents; Increased Diuresis; Low-Ceiling Diuretics and Potassium-Sparing Agents; Membrane Transport Modulators; Natriuretic Agents; Nephrotoxic agents; Non Potassium Sparing Diuretics; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Substrates; Photosensitizing Agents; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Sodium Chloride Symporter Inhibitors; Sulfonamides; Sulfones; Sulfur Compounds; Thiazides",No,,,,0,6,Yes,approved; vet_approved
Cyclacillin,,small molecule,"Amides; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives for Systemic Use; Beta-Lactam Antibacterials; beta-Lactams; Heterocyclic Compounds, Fused-Ring; Lactams; Penicillins; Sulfur Compounds",No,,,,0,0,Yes,approved
Albuterol,,small molecule,"Adrenergic Agents; Adrenergic Agonists; Adrenergic beta-2 Receptor Agonists; Adrenergic beta-Agonists; Adrenergics, Inhalants; Agents producing tachycardia; Agents that produce hypertension; Agents to Treat Airway Disease; Alcohols; Amines; Amino Alcohols; Anti-Asthmatic Agents; Autonomic Agents; Bronchodilator Agents; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Drugs for Obstructive Airway Diseases; Drugs that are Mainly Renally Excreted; Ethanolamines; Peripheral Nervous System Agents; Phenethylamines; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Reproductive Control Agents; Respiratory System Agents; Selective Beta 2-adrenergic Agonists; Sympathomimetic (Adrenergic) Agents; Tocolytic Agents",No,,,,0,0,Yes,approved; vet_approved
Levobupivacaine,,small molecule,"Amides; Amines; Anesthetics; Anesthetics, Local; Anilides; Aniline Compounds; Central Nervous System Agents; Central Nervous System Depressants; Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; Hypotensive Agents; Nervous System; Neuraxial Anesthetics; Peripheral Nervous System Agents; Sensory System Agents",No,,,,0,0,Yes,approved; investigational
Cromoglicic acid,,small molecule,"Adrenergics, Inhalants; Agents for Dermatitis, Excluding Corticosteroids; Alimentary Tract and Metabolism; Anti-Allergic Agents; Anti-Asthmatic Agents; Anti-Inflammatory Agents; Antiallergic Agents, Excl. Corticosteroids; Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents; Benzopyrans; Chromones; Cromolyn Sodium; Decongestants and Antiallergics; Decreased Histamine Release; Dermatologicals; Drugs causing inadvertant photosensitivity; Drugs for Obstructive Airway Diseases; Heterocyclic Compounds, Fused-Ring; Immunologic Factors; Intestinal Antiinflammatory Agents; Mast Cell Stabilizers; Mast-cell Stabilizers; Nasal Preparations; Ophthalmologicals; Photosensitizing Agents; Pyrans; Respiratory System Agents; Sensory Organs",No,,,,0,1,Yes,approved
Ganciclovir,,small molecule,"Agents Causing Muscle Toxicity; Agents that reduce seizure threshold; Anti-Infective Agents; Antiinfectives for Systemic Use; Antiviral Agents; Antivirals for Systemic Use; Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor; Direct Acting Antivirals; Drugs that are Mainly Renally Excreted; Ganciclovir and prodrug; Heterocyclic Compounds, Fused-Ring; MATE 1 Substrates; MATE 2 Substrates; MATE substrates; Nucleic Acid Synthesis Inhibitors; Nucleoside Analog Antiviral; Nucleosides and Nucleotides; Nucleosides and Nucleotides Excl. Reverse Transcriptase Inhibitors; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Inhibitors; OCT1 inhibitors; OCT1 substrates; Ophthalmologicals; Purines; Purinones; Sensory Organs",No,,,,0,1,Yes,approved; investigational
Hydroxyurea,,small molecule,Amides; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Antisickling Agents; Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 Enzyme Inhibitors; Enzyme Inhibitors; Hematologic Agents; Immunosuppressive Agents; Methemoglobinemia Associated Agents; Myelosuppressive Agents; Narrow Therapeutic Index Drugs; Nucleic Acid Synthesis Inhibitors; OATP1B1/SLCO1B1 Substrates,No,,,,0,1,Yes,approved
Letrozole,,small molecule,"Agents Causing Muscle Toxicity; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; Aromatase Inhibitors; Cytochrome P-450 CYP2A6 Inhibitors; Cytochrome P-450 CYP2A6 Inhibitors (strong); Cytochrome P-450 CYP2A6 Substrates; Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C19 inhibitors (strength unknown); Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Endocrine Therapy; Enzyme Inhibitors; Estrogen Antagonists; Hormone Antagonists; Hormone Antagonists and Related Agents; Hormones, Hormone Substitutes, and Hormone Antagonists; Nitriles; P-glycoprotein substrates; Steroid Synthesis Inhibitors; Triazoles; UGT2B7 substrates",No,,,,0,1,Yes,approved; investigational
Tioconazole,,small molecule,"14-alpha Demethylase Inhibitors; Anti-Infective Agents; Antifungal Agents; Antifungal Agents (Vaginal); Antifungals for Dermatological Use; Antifungals for Topical Use; Azole Antifungals; Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C19 Inhibitors (strong); Cytochrome P-450 CYP2E1 Inhibitors; Cytochrome P-450 CYP2E1 Inhibitors (strong); Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (moderate); Cytochrome P-450 Enzyme Inhibitors; Dermatologicals; Enzyme Inhibitors; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Hormone Antagonists; Hormones, Hormone Substitutes, and Hormone Antagonists; Imidazole and Triazole Derivatives; Imidazole Derivatives; Steroid Synthesis Inhibitors",No,,,,0,0,Yes,approved
Busulfan,,small molecule,"Alcohols; Alkanes; Alkanesulfonates; Alkanesulfonic Acids; Alkylating Activity; Alkylating Drugs; Antineoplastic Agents; Antineoplastic Agents, Alkylating; Antineoplastic and Immunomodulating Agents; Butylene Glycols; Cardiotoxic antineoplastic agents; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 Substrates; Glycols; Hydrocarbons, Acyclic; Immunologic Factors; Immunosuppressive Agents; Mesylates; Myeloablative Agonists; Myelosuppressive Agents; Narrow Therapeutic Index Drugs; Noxae; Sulfonic Acids; Sulfur Acids; Sulfur Compounds; Toxic Actions",No,,,,0,4,Yes,approved; investigational
Ketoprofen,,small molecule,"Acids, Carbocyclic; Agents causing hyperkalemia; Agents that produce hypertension; Amino Acids; Amino Acids, Basic; Amino Acids, Diamino; Amino Acids, Peptides, and Proteins; Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents; Anti-Inflammatory Agents, Non-Steroidal; Anti-Inflammatory Agents, Non-Steroidal (Non-Selective); Antiinflammatory and Antirheumatic Products; Antiinflammatory and Antirheumatic Products, Non-Steroids; Antiinflammatory Preparations, Non-Steroids for Topical Use; Antirheumatic Agents; Arylpropionic acid NSAIDS; Cyclooxygenase Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors (weak); Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Drugs causing inadvertant photosensitivity; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Musculo-Skeletal System; Nephrotoxic agents; Non COX-2 selective NSAIDS; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Inhibitors; Other Nonsteroidal Anti-inflammatory Agents; Peripheral Nervous System Agents; Phenylpropionates; Photosensitizing Agents; Propionates; Sensory System Agents; Topical Products for Joint and Muscular Pain; UGT1A1 Substrates",No,,,,0,2,Yes,approved; vet_approved
Edrophonium,,small molecule,"Amines; Antidotes; Cholinergic Agents; Cholinesterase Inhibitors; Compounds used in a research, industrial, or household setting; Diagnostic Agents; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Neurotransmitter Agents; Onium Compounds; Phenylammonium Compounds; Protective Agents; Quaternary Ammonium Compounds",No,,,,0,0,Yes,approved
Metyrapone,,small molecule,Cytochrome P-450 CYP2A6 Inhibitors; Cytochrome P-450 CYP2A6 Inhibitors (strength unknown); Cytochrome P-450 CYP2E1 Inhibitors; Cytochrome P-450 CYP2E1 Inhibitors (strength unknown); Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Enzyme Inhibitors; Diagnostic Agents; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Noxae; Pyridines; Steroid Synthesis Inhibitors; Tests for Pituitary Function; Toxic Actions,No,,,,0,1,Yes,approved; investigational
Cinacalcet,,small molecule,"Anti-Parathyroid Agents; Calcimimetic Agents; Calcium Homeostasis; Calcium-Regulating Hormones and Agents; Calcium-sensing Receptor Agonist; Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 CYP2D6 Inhibitors (strong); Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Hormone Antagonists; Hormones, Hormone Substitutes, and Hormone Antagonists; Increased Calcium-sensing Receptor Sensitivity; Naphthalenes; Other Miscellaneous Therapeutic Agents; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins",No,,,,0,1,Yes,approved
Clobetasol propionate,,small molecule,"Adrenal Cortex Hormones; Anti-Inflammatory Agents; Corticosteroids; Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A5 Inducers; Cytochrome P-450 CYP3A5 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Substrates; Fused-Ring Compounds; Glucocorticoids; Hormones; Hormones, Hormone Substitutes, and Hormone Antagonists; Hyperglycemia-Associated Agents; Immunosuppressive Agents; Pregnadienes; Pregnadienetriols; Pregnanes; Steroids; Steroids, Fluorinated; Thyroxine-binding globulin inhibitors",No,,,,0,0,Yes,approved
Balsalazide,,small molecule,"Acids, Carbocyclic; Agents causing hyperkalemia; Agents that produce hypertension; Alimentary Tract and Metabolism; Aminobenzoates; Aminosalicylate; Aminosalicylic Acids; Analgesics; Analgesics, Non-Narcotic; Anti-Inflammatory Agents; Anti-Inflammatory Agents, Non-Steroidal; Anti-Inflammatory Agents, Non-Steroidal (Non-Selective); Antidiarrheals, Intestinal Antiinflammatory/antiinfective Agents; Benzene Derivatives; Benzoates; Colitis, Ulcerative; Gastrointestinal Agents; Hydrazines; Hydroxy Acids; Hydroxybenzoates; Inflammatory Bowel Diseases; Intestinal Antiinflammatory Agents; meta-Aminobenzoates; Nephrotoxic agents; Non COX-2 selective NSAIDS; Peripheral Nervous System Agents; Phenols; Prodrugs; Salicylates; Sensory System Agents",No,,,,0,1,Yes,approved; investigational
Sulfamethoxazole,,small molecule,Agents causing hyperkalemia; Agents Causing Muscle Toxicity; Amines; Aniline Compounds; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antibiotics for Pneumocystis Pneumonia; Antiinfectives for Systemic Use; Antimycobacterials; Benzene Derivatives; Benzenesulfonamides; Blood Glucose Lowering Agents; BSEP/ABCB11 Inhibitors; BSEP/ABCB11 Substrates; Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Drugs causing inadvertant photosensitivity; Drugs for Treatment of Tuberculosis; Drugs that are Mainly Renally Excreted; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Hypoglycemia-Associated Agents; Intermediate-Acting Antibacterial Sulfonamides; Methemoglobinemia Associated Agents; Photosensitizing Agents; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Sulfanilamides; Sulfonamide Antibacterial; Sulfonamides; Sulfonamides and trimethoprim; Sulfones; Sulfur Compounds,No,,,,0,0,Yes,approved
Glyburide,,small molecule,Alimentary Tract and Metabolism; Amides; BCRP/ABCG2 Substrates; Blood Glucose Lowering Agents; BSEP/ABCB11 Inhibitors; BSEP/ABCB11 Substrates; Cytochrome P-450 CYP2C19 Substrates; Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (weak); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A5 Substrates; Cytochrome P-450 CYP3A7 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Drugs causing inadvertant photosensitivity; Drugs Used in Diabetes; Hypoglycemia-Associated Agents; Insulin Secretagogues; OAT1/SLC22A6 inhibitors; OATP2B1/SLCO2B1 substrates; Oral Hypoglycemics; P-glycoprotein inhibitors; Photosensitizing Agents; Sulfones; Sulfonylureas; Sulfur Compounds,No,,,,0,2,Yes,approved
Minocycline,,small molecule,Agents Causing Muscle Toxicity; Agents that produce neuromuscular block (indirect); Alimentary Tract and Metabolism; Anti-Acne Preparations; Anti-Acne Preparations for Topical Use; Anti-Bacterial Agents; Anti-Infective Agents; Antibacterials for Systemic Use; Antiinfectives and Antiseptics for Local Oral Treatment; Antiinfectives for Systemic Use; Antiinfectives for Treatment of Acne; Dermatologicals; Drugs causing inadvertant photosensitivity; Naphthacenes; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Inhibitors; Photosensitizing Agents; Stomatological Preparations; Tetracyclines,No,,,,0,2,Yes,approved; investigational
Guanfacine,,small molecule,"Adrenergic Agents; Adrenergic Agonists; Adrenergic alpha-2 Receptor Agonists; Adrenergic alpha-Agonists; Agents producing tachycardia; Agents that produce hypertension; Amidines; Antiadrenergic Agents, Centrally Acting; Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Bradycardia-Causing Agents; Cardiovascular Agents; Central alpha-2 Adrenergic Agonist; Central Alpha-agonists; Central Nervous System Depressants; Cytochrome P-450 CYP2C19 Substrates; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; Guanidines; Hypotensive Agents; Imidazoline Receptor Agonists; MATE 1 Inhibitors; MATE inhibitors; Neurotransmitter Agents; OCT1 inhibitors; OCT1 substrates; OCT2 Substrates",No,,,,0,2,Yes,approved; investigational
Bethanechol,,small molecule,"Acids, Acyclic; Amines; Ammonium Compounds; Autonomic Agents; Bethanechol Compounds; Carbamates; Choline Esters; Cholinergic Agents; Cholinergic Agonists; Muscarinic Agonists; Nervous System; Neurotransmitter Agents; Nitrogen Compounds; Onium Compounds; Parasympathomemetic (Cholinergic) Agents; Parasympathomimetics; Peripheral Nervous System Agents; Quaternary Ammonium Compounds; Trimethyl Ammonium Compounds",No,,,,0,1,Yes,approved
Isosorbide mononitrate,,small molecule,Alcohols; Antianginal Agents; Carbohydrates; Cardiac Therapy; Cardiovascular Agents; Delayed-Action Preparations; Drugs that are Mainly Renally Excreted; Hypotensive Agents; Methemoglobinemia Associated Agents; Nitrate Vasodilator; Nitrates and Nitrites; Nitric Oxide Donors; Organic Nitrates; Sugar Alcohols; Vasodilating Agents; Vasodilation; Vasodilators Used in Cardiac Diseases,No,,,,0,1,Yes,approved
Trichlormethiazide,,small molecule,"Antihypertensive Agents; Benzothiadiazines; Cardiovascular Agents; Diuretics; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Heterocyclic Compounds, Fused-Ring; Hyperglycemia-Associated Agents; Low-Ceiling Diuretics and Potassium-Sparing Agents; Membrane Transport Modulators; Natriuretic Agents; Sodium Chloride Symporter Inhibitors; Sulfonamides; Sulfones; Sulfur Compounds; Thiazides",No,,,,0,0,Yes,approved; vet_approved
Phylloquinone,,small molecule,"Blood and Blood Forming Organs; Coagulants; Diet, Food, and Nutrition; Diterpenes; Drugs that are Mainly Renally Excreted; Fibrin Modulating Agents; Food; Growth Substances; Hematologic Agents; Hemostatics; Increased Prothrombin Activity; Micronutrients; Naphthalenes; Naphthoquinones; Physiological Phenomena; Phytol; Quinones; Reversed Anticoagulation Activity; Terpenes; Vitamin K; Vitamins; Vitamins (Fat Soluble); Warfarin Reversal Agent",No,,,,0,0,Yes,approved; investigational
Felodipine,,small molecule,ACE Inhibitors and Calcium Channel Blockers; Agents causing hyperkalemia; Antiarrhythmic agents; Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Beta blocking agents and calcium channel blockers; Bradycardia-Causing Agents; BSEP/ABCB11 Substrates; Calcium Channel Blockers; Calcium Channel Blockers (Dihydropyridine); Calcium-Regulating Hormones and Agents; Cardiovascular Agents; Cytochrome P-450 CYP2C8 Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors (strong); Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 CYP2D6 Inhibitors (strength unknown); Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A5 Substrates; Cytochrome P-450 CYP3A7 Substrates; Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Dihydropyridine Derivatives; Dihydropyridines; Hypotensive Agents; Membrane Transport Modulators; P-glycoprotein inhibitors; Potential QTc-Prolonging Agents; Pyridines; QTc Prolonging Agents; Selective Calcium Channel Blockers With Mainly Vascular Effects; Vasodilating Agents,No,,,,0,2,Yes,approved; investigational
Mycophenolic acid,,small molecule,"Acids, Acyclic; Anti-Bacterial Agents; Anti-Infective Agents; Antibiotics, Antineoplastic; Antimetabolite Immunosuppressant; Antineoplastic and Immunomodulating Agents; Caproates; Cytochrome P-450 CYP2C8 Substrates; Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A4 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 CYP3A5 Substrates; Cytochrome P-450 CYP3A5 Substrates with a Narrow Therapeutic Index; Cytochrome P-450 Substrates; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Fatty Acids; Immunosuppressive Agents; Mycophenolic Acid and Prodrugs; Narrow Therapeutic Index Drugs; Selective Immunosuppressants; UGT1A1 Substrates; UGT1A1 Substrates with a Narrow Therapeutic Index; UGT1A6 substrate; UGT1A6 Substrates with a Narrow Therapeutic Index; UGT1A9 Substrates; UGT1A9 Substrates with a Narrow Therapeutic Index; UGT2B7 substrates; UGT2B7 Substrates with a Narrow Therapeutic Index",No,,,,0,1,Yes,approved; investigational
Amlexanox,,small molecule,Alimentary Tract and Metabolism; Amines; Anti-Allergic Agents; Decreased Histamine Release; Drugs for Obstructive Airway Diseases; Ophthalmic Solutions; Pyridines; Stomatological Preparations,No,,,,0,0,Yes,approved; investigational; withdrawn
Ketoconazole,,small molecule,"14-alpha Demethylase Inhibitors; Agents causing hyperkalemia; Anti-Infective Agents; Antiadrenal Preparations; Anticorticosteroids; Antifungal Agents; Antifungals for Dermatological Use; Antifungals for Topical Use; Antiinfectives for Systemic Use; Antimycotics for Systemic Use; Azole Antifungals; BSEP/ABCB11 Inhibitors; BSEP/ABCB11 Substrates; Cytochrome P-450 CYP1A2 Inhibitors; Cytochrome P-450 CYP1A2 Inhibitors (moderate); Cytochrome P-450 CYP2A6 Inhibitors; Cytochrome P-450 CYP2A6 Inhibitors (moderate); Cytochrome P-450 CYP2B6 Inhibitors; Cytochrome P-450 CYP2B6 Inhibitors (moderate); Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C19 inhibitors (strength unknown); Cytochrome P-450 CYP2C8 Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors (moderate); Cytochrome P-450 CYP2C8 Inhibitors (strong); Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (moderate); Cytochrome P-450 CYP2D6 Inhibitors; Cytochrome P-450 CYP2D6 Inhibitors (moderate); Cytochrome P-450 CYP2D6 Inhibitors (strength unknown); Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strong); Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 CYP3A5 Inhibitors; Cytochrome P-450 CYP3A5 Inhibitors (strong); Cytochrome P-450 CYP3A7 Inhibitors; Cytochrome P-450 CYP3A7 Inhibitors (strong); Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Dermatologicals; Drugs causing inadvertant photosensitivity; Enzyme Inhibitors; Gynecological Antiinfectives and Antiseptics; Hepatotoxic Agents; Imidazole and Triazole Derivatives; Imidazole Derivatives; OATP1B1/SLCO1B1 Inhibitors; P-glycoprotein inhibitors; P-glycoprotein substrates; Photosensitizing Agents; Piperazines; Potential QTc-Prolonging Agents; QTc Prolonging Agents; Steroid Synthesis Inhibitors; Systemic Hormonal Preparations, Excl. Sex Hormones and Insulins; UGT1A1 Inhibitors; UGT2B7 Inhibitors",No,,,,0,3,Yes,approved; investigational
Methoxyflurane,,small molecule,"Agents that produce hypertension; Analgesics; Anesthetics; Anesthetics, General; Anesthetics, Inhalation; Central Nervous System Agents; Central Nervous System Depressants; Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 CYP2A6 Substrates; Cytochrome P-450 CYP2B6 Substrates; Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP2D6 Substrates; Cytochrome P-450 CYP2E1 Substrates; Cytochrome P-450 CYP3A Substrates; Cytochrome P-450 CYP3A4 Substrates; Cytochrome P-450 Substrates; Ethers; Ethyl Ethers; Methyl Ethers; Miscellaneous Analgesics and Antipyretics; Nervous System",No,,,,0,1,Yes,approved; investigational; vet_approved; withdrawn
Irbesartan,,small molecule,"Agents Acting on the Renin-Angiotensin System; Agents causing hyperkalemia; Angiotensin 2 Receptor Blocker; Angiotensin II receptor antagonists; Angiotensin II receptor blockers (ARBs) and calcium channel blockers; Angiotensin II receptor blockers (ARBs) and diuretics; Angiotensin II receptor blockers (ARBs), plain; Angiotensin II Type 2 Receptor Blockers; Angiotensin Receptor Antagonists; Antihypertensive Agents; Antihypertensive Agents Indicated for Hypertension; Benzene Derivatives; Biphenyl Compounds; Cardiovascular Agents; Cytochrome P-450 CYP2C8 Inhibitors; Cytochrome P-450 CYP2C8 Inhibitors (moderate); Cytochrome P-450 CYP2C8 Substrates; Cytochrome P-450 CYP2C9 Substrates; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors (strength unknown); Cytochrome P-450 Enzyme Inhibitors; Cytochrome P-450 Substrates; Hypotensive Agents; Spiro Compounds; Tetrazoles; UGT1A3 substrates",No,,,,0,1,Yes,approved; investigational
Topotecan,,small molecule,Alkaloids; Antineoplastic Agents; Antineoplastic and Immunomodulating Agents; BCRP/ABCG2 Substrates; Cytochrome P-450 CYP3A Inhibitors; Cytochrome P-450 CYP3A4 Inhibitors; Cytochrome P-450 Enzyme Inhibitors; Drugs that are Mainly Renally Excreted; Enzyme Inhibitors; Immunosuppressive Agents; MATE 1 Inhibitors; MATE 1 Substrates; MATE 1 Substrates with a Narrow Therapeutic Index; MATE 2 Substrates; MATE 2 Substrates with a Narrow Therapeutic Index; MATE inhibitors; MATE substrates; Myelosuppressive Agents; Narrow Therapeutic Index Drugs; P-glycoprotein substrates; P-glycoprotein substrates with a Narrow Therapeutic Index; Topoisomerase 1 (TOP1) inhibitors; Topoisomerase I Inhibitors; Topoisomerase Inhibitors,No,,,,0,1,Yes,approved; investigational
Ethinamate,,small molecule,"Acids, Acyclic",No,,,,0,0,Yes,approved; illicit; withdrawn
Probenecid,,small molecule,"Adjuvants, Pharmaceutic; Amides; Antigout Preparations; Antirheumatic Agents; Compounds used in a research, industrial, or household setting; Cytochrome P-450 CYP2C19 Inhibitors; Cytochrome P-450 CYP2C8 Inducers; Cytochrome P-450 CYP2C8 Inducers (strength unknown); Cytochrome P-450 CYP2C9 Inhibitors; Cytochrome P-450 CYP2C9 Inhibitors (strength unknown); Cytochrome P-450 CYP3A Inducers; Cytochrome P-450 CYP3A4 Inducers; Cytochrome P-450 CYP3A4 Inducers (strength unknown); Cytochrome P-450 Enzyme Inducers; Cytochrome P-450 Enzyme Inhibitors; Drugs that are Mainly Renally Excreted; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Musculo-Skeletal System; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Inhibitors; OCT1 inhibitors; OCT2 Inhibitors; Pharmaceutic Aids; Pharmaceutical Preparations; Preparations Increasing Uric Acid Excretion; Preparations With No Effect on Uric Acid Metabolism; Sulfonamides; Sulfones; Sulfur Compounds; UGT1A1 Inhibitors; Uricosuric Agents",No,,,,0,3,Yes,approved; investigational
